Date	Price	Open	High	Low	Vol.	Change %
01/11/2023	104,8	104,7	105,02	103,49	24.92K	0,10%
01/10/2023	104,7	104,94	105,49	104,16	23.39K	-0,23%
01/09/2023	104,94	103,65	105,25	102,95	25.10K	1,24%
01/06/2023	103,65	104,6	104,6	103,2	26.90K	-0,97%
01/05/2023	104,66	101,91	106,7	101,91	28.79K	2,76%
01/04/2023	101,85	104,5	105,48	101,04	34.55K	-1,97%
01/03/2023	103,9	106,48	109,98	103	51.17K	-2,44%
01/02/2023	106,5	106,21	107	104,09	24.26K	0,26%
12/29/2022	106,22	103,86	106,22	103,85	14.64K	2,27%
12/28/2022	103,86	103,16	104,08	103,16	16.57K	0,73%
12/27/2022	103,11	102,96	103,92	102,96	19.82K	0,15%
12/26/2022	102,96	102,84	104,24	102,7	18.50K	0,12%
12/23/2022	102,84	102,65	104,7	102,65	20.19K	0,19%
12/22/2022	102,65	102,99	103,31	102,6	17.18K	0,32%
12/21/2022	102,32	102,28	103,92	102,28	27.33K	0,04%
12/20/2022	102,28	100,71	102,33	100,71	20.94K	1,56%
12/19/2022	100,71	100,46	101,94	100,46	22.36K	0,36%
12/16/2022	100,35	101,51	102,99	100,35	20.05K	-1,14%
12/15/2022	101,51	102,48	103,1	101,5	22.39K	-0,95%
12/14/2022	102,48	103,45	104,31	102	26.05K	-0,94%
12/13/2022	103,45	103,75	104,97	103,34	15.35K	-0,22%
12/12/2022	103,68	105,84	106	103,61	21.44K	-2,04%
12/09/2022	105,84	105,15	106,2	105,15	10.03K	0,66%
12/08/2022	105,15	105,45	106,4	104,31	18.57K	0,14%
12/07/2022	105	105,3	106,2	105	19.81K	-0,28%
12/06/2022	105,3	105,5	107	104,01	31.46K	0,14%
12/05/2022	105,15	105	107,02	104,89	17.37K	0,14%
12/02/2022	105	103,96	105	103,96	13.06K	1,29%
12/01/2022	103,66	104,86	105,36	103,66	22.08K	-0,42%
11/30/2022	104,1	102,05	104,14	102,05	22.83K	2,09%
11/29/2022	101,97	102,6	103,62	101,79	21.63K	-1,34%
11/28/2022	103,35	103,1	104,48	103,09	17.08K	0,24%
11/25/2022	103,1	104,28	105,3	103,05	19.21K	-1,13%
11/24/2022	104,28	103,2	105,46	103,2	12.12K	1,05%
11/23/2022	103,2	102	103,96	102	15.14K	1,28%
11/22/2022	101,9	104,1	105,95	100,75	33.15K	-2,11%
11/21/2022	104,1	105	105,68	104	22.55K	-0,71%
11/18/2022	104,84	104,6	107	104,07	22.48K	0,23%
11/17/2022	104,6	108,35	108,35	103,15	34.15K	-3,46%
11/16/2022	108,35	108,15	108,97	107,91	24.23K	0,19%
11/14/2022	108,14	109,62	110	108,08	20.26K	-1,35%
11/11/2022	109,62	111,88	111,88	109,47	24.32K	-2,04%
11/10/2022	111,9	113,03	113,54	111,53	24.57K	-1,45%
11/09/2022	113,55	113	113,57	113	20.94K	-0,04%
11/08/2022	113,6	113,43	113,6	113	27.57K	0,15%
11/07/2022	113,43	113,1	113,45	112,82	30.71K	0,25%
11/04/2022	113,15	112,76	113,15	112,76	17.82K	-0,21%
