TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PMT;11,36;15,93;-9,64;0,51;0,07;79,84;83,82;-22,77;2,62;-0,78;-3,4;-0,67;2,2;0;-0,07;0;-5,34;-0,75;4,55;0,14;0,86;0,03;0;0;0;22,08;-1,18;0;1.009.814.256,00
PSA;295,67;7,49;12,55;5,16;2,96;74,82;54,2;99,05;22,93;25,61;2,69;0,61;12,43;0;-2,96;0;41,12;23,6;13,38;0,57;0,43;0,24;9,4;29,99;0;57,31;23,57;0;51.966.190.458,00
PSB;187,44;3,48;11,84;2,91;2,39;70,28;137,87;98,58;8,47;8,33;-0,14;-0,05;11,68;0;-2,39;0;24,56;20,18;33,97;0,82;0,18;0,2;2,55;48,15;0;64,43;15,82;0;5.178.479.856,00
PSTL;14,43;6,48;73,7;1,24;0,57;76,01;19;7,23;28,03;47,23;19,2;0,85;5,33;0;-0,57;0;1,68;0,77;2,38;0,46;0,54;0,11;0;0;0;11,65;0,2;0;284.030.019,00
PW;3,85;0;5,13;0,25;0,13;100;59,54;31,61;2,72;10,32;7,6;0,7;1,62;0;-0,13;0;4,87;2,45;5,16;0,5;0,41;0,08;33,75;0;0;15,42;0,75;0;13.050.345,00
QTS;77,95;0;1.850,29;2,85;1,39;66,15;7,08;0,55;144,95;183,57;38,62;0,76;10,27;0;-1,39;0;0,15;0,07;1,09;0,49;0,51;0,14;11,64;-4,79;0;27,33;0,04;0;6.009.726.740,00
RC;9,46;17,55;5,62;0,58;0,09;0;0;0;1,65;8,02;6,37;2,25;0;0;-0,09;0;10,4;1,6;9,93;0,15;0,85;0;0;36,6;0;16,17;1,68;0;1.047.528.504,00
RCA;24,9;7,03;14,8;1,54;0,24;0;0;0;4,35;8,02;6,37;2,25;0;0;-0,24;0;10,4;1,6;9,93;0,15;0,85;0;0;36,6;0;16,17;1,68;0;1.047.528.504,00
RCB;22,81;6,8;13,56;1,41;0,22;0;0;0;3,99;8,02;6,37;2,25;0;0;-0,22;0;10,4;1,6;9,93;0,15;0,85;0;0;36,6;0;16,17;1,68;0;1.047.528.504,00
RCP;25,23;0;15;1,56;0,24;0;0;0;4,41;8,02;6,37;2,25;0;0;-0,24;0;10,4;1,6;9,93;0,15;0,85;0;0;36,6;0;16,17;1,68;0;1.047.528.504,00
REG;56,65;4,5;20,1;1,59;0,89;71,74;46,93;39,45;16,9;23,39;6,49;0,61;7,93;0;-0,89;0;7,92;4,45;5,81;0,56;0,44;0,11;4,46;38,92;0;35,59;2,82;0;9.704.592.535,00
REXR;57,47;2,19;71,79;1,72;1,22;76,16;34,55;24,95;51,84;60,98;9,14;0,3;17,91;0;-1,22;0;2,4;1,7;2,54;0,71;0,29;0,07;31,44;32,71;0;33,33;0,8;0;11.306.297.233,00
RHP;84,44;0,41;36,86;48,89;1,15;44,95;17,84;7;14,46;21,97;7,51;25,38;2,58;-1,75;-1,42;0,22;132,63;3,13;9,58;0,02;0,98;0,45;8,8;-7,69;0;1,73;2,29;0;4.658.293.036,00
RITM;7,72;12,95;4,12;0,53;0,11;100;80,08;34,59;1,78;7,92;6,14;1,82;1,43;0;-0,11;0;12,78;2,73;5,9;0,21;0,79;0,08;43,31;-0,59;0;14,66;1,87;0;3.657.198.688,00
RLJ;10,03;1,2;70,62;0,68;0,33;63,44;11,47;1,93;11,91;24,19;12,28;0,7;1,37;0;-0,33;0;0,96;0,46;2,92;0,49;0,51;0,24;-2,52;-10,94;0;14,85;0,14;0;1.630.507.893,00
ROIC;12,63;4,59;30,34;1,21;0,52;100;36,65;16,58;13,72;25,82;12,1;1,07;5,03;-1,06;-0,55;0,09;4;1,73;4,26;0,43;0,57;0,1;2,75;6,16;0;10,4;0,42;0;1.573.823.037,00
RPAI;13,15;0;143,6;1,79;0,78;83,92;21,52;4,32;28,84;45,98;17,14;1,06;6,21;0;-0,78;0;1,25;0,54;2,95;0,44;0,56;0,13;-6,57;-33,92;0;7,35;0,09;0;2.824.592.385,00
RPT;8,93;5,94;9,98;0,8;0,4;74,2;55,76;35,54;6,36;9,88;3,51;0,44;3,55;0;-0,4;0;8,05;3,97;6,68;0,49;0,51;0,11;-3,87;4,01;0;11,11;0,89;0;772.296.762,00
RWT;6,74;13,65;-4,68;0,71;0,06;0;0;0;2,08;10,33;8,26;2,81;0;0;-0,06;0;-15,09;-1,25;7,18;0,08;0,92;0;0;0;0;9,54;-1,44;0;765.588.512,00
RYN;31,74;3,59;43,67;2,51;1,23;24,29;18,52;11,78;27,77;36,09;8,32;0,75;5,14;43,68;-1,3;2,12;5,74;2,83;4,7;0,49;0,51;0,24;2,09;-6,37;0;12,66;0,73;0;4.675.905.060,00
SAFE;29,95;2,34;13,8;0,87;0,32;98,85;97,89;50,1;7,06;19,51;12,44;1,54;6,91;0;-0,32;0;6,32;2,31;4,67;0,37;0,63;0,05;63,36;0;0;34,32;2,17;0;1.868.802.130,00
SBAC;255,98;1,16;59,94;-5,24;2,61;74,61;35,15;17,52;29,87;43,57;13,7;0;10,5;-129,21;-2,74;0,69;-8,75;4,36;11,32;-0,5;1,5;0,25;8,8;34,8;0;-48,84;4,27;0;27.655.823.220,00
SBRA;10,69;11,23;-31,84;0,81;0,43;100;21,72;-13,21;19,37;38,6;19,23;0,8;4,21;0;-0,43;0;-2,54;-1,35;2,27;0,53;0,47;0,1;8,5;0;0;13,22;-0,34;0;2.471.093.986,00
SELF;5,22;5,41;19,34;1,19;0,85;65,68;32,51;25,73;15,31;18,23;2,92;0,23;4,98;0;-0,85;0;6,16;4,41;5,72;0,72;0,28;0,17;16,13;53,58;0;4,38;0,27;0;57.970.710,00
SITC;11,69;4,45;15,61;1,18;0,61;69,23;44,77;28,53;9,94;16,76;6,82;0,81;4,45;0;-0,61;0;7,55;3,9;6,5;0,52;0,48;0,14;-9,73;0;0;9,92;0,75;0;2.459.265.046,00
SKT;18,07;4,65;23,01;3,84;0,85;67,48;28,06;18,54;15,2;24,57;9,37;2,37;4,27;0;-0,85;0;16,69;3,7;6,47;0,22;0,78;0,2;-1,94;3,83;0;4,7;0,79;0;1.888.277.053,00
SLG;23,57;15,31;-17,73;0,33;0,12;62,23;-2,2;-10,35;-83,29;-339,11;-255,81;1,02;1,84;0;-0,12;0;-1,87;-0,69;-0,18;0,37;0,59;0,07;-11,37;0;0;71,23;-1,33;0;1.517.094.835,00
SNR;8,82;0;-27,24;4,07;0,43;39,07;9,48;-8,4;24,14;71,62;47,47;7,99;2,29;0;-0,43;0;-14,93;-1,56;1,84;0,1;0,88;0,19;-2,84;0;0;2,17;-0,32;0;741.437.424,00
SOHO;2;0;4,74;0,78;0,09;26,7;20,54;5,01;1,15;10,3;9,15;6,15;0,24;0;-0,09;0;16,4;1,96;8,65;0,12;0,88;0,39;-3,55;0;0;2,57;0,42;0;37.903.000,00
SOHOB;24,02;2,08;56,9;9,33;1,11;26,7;20,54;5,01;13,86;10,3;9,15;6,15;2,85;0;-1,11;0;16,4;1,96;8,65;0,12;0,88;0,39;-3,55;0;0;2,57;0,42;0;37.903.000,00
SOHON;23,78;2,17;56,33;9,24;1,1;26,7;20,54;5,01;13,73;10,3;9,15;6,15;2,82;0;-1,1;0;16,4;1,96;8,65;0,12;0,88;0,39;-3,55;0;0;2,57;0,42;0;37.903.000,00
SOHOO;23,95;2,06;56,74;9,3;1,11;26,7;20,54;5,01;13,82;10,3;9,15;6,15;2,84;0;-1,11;0;16,4;1,96;8,65;0,12;0,88;0,39;-3,55;0;0;2,57;0,42;0;37.903.000,00
SPG;104,31;6,76;15,96;10,87;1,03;81,08;47,35;40,37;13,61;23,32;9,71;7,75;6,44;0;-1,03;0;68,06;6,47;8,92;0,1;0,9;0,16;-0,87;1,89;0;9,6;6,53;0;34.102.224.765,00
SQFT;1,04;14,13;-4,47;0,28;0,04;67,04;30,11;-16,14;2,4;16,63;14,24;1,68;0,72;0;-0,04;0;-6,31;-0,99;3,6;0,16;0,4;0,06;-9,94;0;0;3,68;-0,23;0;12.722.424,00
SRC;38,73;6,72;19,89;1,2;0,65;100;57,09;38,88;13,55;22,37;8,83;0,78;7,73;0;-0,65;0;6,03;3,25;4,95;0,54;0,46;0,08;10,59;29,92;0;32,28;1,95;0;5.472.719.412,00
STAG;31,91;4,58;32,13;1,69;0,93;80,88;39,59;27,09;21,99;31,64;9,66;0,74;8,71;0;-0,93;0;5,26;2,88;4,39;0,55;0,45;0,11;16,9;41,66;0;18,87;0,99;0;5.722.388.390,00
STAR;6,74;36,25;1,43;0,42;0,18;56,18;-68,15;282,9;-5,93;-8,37;-2,44;0,17;4,04;0;-0,18;0;29,08;12,59;-3,21;0,43;0,57;0,04;-24,05;19,12;0;16,22;4,72;0;585.274.640,00
STOR;32,22;3,66;28,36;1,7;0,87;100;61,2;38,95;18,05;27,57;9,52;0,9;11,05;0;-0,87;0;6,01;3,06;4,94;0,51;0,49;0,08;15,41;16,82;0;18,91;1,14;0;9.108.136.476,00
STWD;16,74;11,47;5,97;0,8;0,07;-10,23;990,77;481,11;2,9;4,06;1,16;0,32;28,71;0;-0,07;0;13,49;1,1;19,42;0,08;0,91;0;-10,38;16,81;0;20,8;2,81;0;5.200.269.282,00
SUI;134,14;2,62;68,79;2,13;0,97;48,23;17,31;8,25;32,76;47,44;14,68;0,96;5,67;0;-0,97;0;3,1;1,42;3,27;0,46;0,53;0,17;24,46;30,06;0;62,93;1,95;0;16.646.666.688,00
SVC;9,59;4,38;-11,99;1,14;0,21;34,12;11,12;-7,11;7,66;33,94;26,28;3,92;0,85;0;-0,21;0;-9,53;-1,77;2,94;0,19;0,81;0,25;-3,02;0;0;8,39;-0,8;0;1.587.143.082,00
TCI;43,72;0;0,94;0,5;0,32;47,17;113,16;1.252,05;10,43;8,51;-1,92;-0,09;11,81;0;-0,32;0;52,67;34,4;-5,67;0,65;0,35;0,03;-19,21;202,67;0;88,03;46,37;0;377.710.196,00
